baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Omics Group Pair,Probe Name,Gene Symbol,Omics Group 1,Omics Group 2
36.38039679,0.664312002,0.28618412,2.369586898,0.01780797,0.075384857,121_vs_120,LEPROTL1_21732,LEPROTL1,121,120
863.2833952,-0.64681911,0.166337164,-3.907738225,9.32E-05,0.001154656,121_vs_120,LYPLA1_27474,LYPLA1,121,120
360.7055341,-0.554801882,0.16512521,-3.379018922,0.00072745,0.006192386,121_vs_120,LYPLA1_3915,LYPLA1,121,120
193.3069189,0.747768744,0.183015972,4.148232049,3.35E-05,0.000497793,121_vs_120,MAP2K4_3974,MAP2K4,121,120
10.10103198,0.767868824,0.447735436,1.843331092,0.065280684,0.198565944,121_vs_120,MAP3K4_3982,MAP3K4,121,120
171.0712473,-0.783549001,0.240722988,-3.295861566,0.000981204,0.007984504,121_vs_120,MAP7_3988,MAP7,121,120
6.341901764,0.836332993,0.545812751,1.704240817,0.088336107,0.241210008,121_vs_120,MAPKAPK5_4016,MAPKAPK5,121,120
326.7391908,0.276109889,0.173949568,1.601963957,0.10916358,0.278378767,121_vs_120,MBNL1_4056,MBNL1,121,120
990.1257693,0.837970893,0.204791739,4.146465991,3.38E-05,0.000498549,121_vs_120,MCL1_20177,MCL1,121,120
605.9284426,-0.379674299,0.129461448,-2.946474668,0.003214187,0.020892218,121_vs_120,MDH2_20964,MDH2,121,120
274.5529639,0.497254638,0.17428417,2.896113764,0.003778154,0.023720064,121_vs_120,MED1_4106,MED1,121,120
459.5741518,0.285591731,0.196047578,1.494879203,0.134945971,0.317935902,121_vs_120,MET_25913,MET,121,120
249.3764795,0.549256933,0.249274858,2.238940396,0.025159795,0.097698423,121_vs_120,MMADHC_10852,MMADHC,121,120
50.02728094,0.444706591,0.308511788,1.487378083,0.136914982,0.319419398,121_vs_120,MOB1A_13529,MOB1A,121,120
151.2626462,0.452016201,0.255468312,1.740868102,0.081706701,0.230084512,121_vs_120,MORF4L2_16981,MORF4L2,121,120
239.7248495,0.457191371,0.307982934,1.528637757,0.12635427,0.306588347,121_vs_120,MRE11A_4256,MRE11A,121,120
248.756814,-0.26567058,0.186614267,-1.427506163,0.15343405,0.347222562,121_vs_120,MRPL15_4264,MRPL15,121,120
1067.234324,-0.299577116,0.181775437,-1.630943245,0.102902296,0.266676372,121_vs_120,MRPL36_20712,MRPL36,121,120
55.97515631,-0.732886342,0.316967861,-2.419668859,0.015534646,0.067932128,121_vs_120,MRPL37_12369,MRPL37,121,120
30.04906061,-0.677460636,0.445709804,-1.661465783,0.096619935,0.256224929,121_vs_120,MRPL3_28349,MRPL3,121,120
62.07774994,-0.396593801,0.299717669,-1.383590921,0.16648375,0.367709261,121_vs_120,MRPS16_4290,MRPS16,121,120
31.43221716,0.683976019,0.410273822,1.65274774,0.098382214,0.25917429,121_vs_120,MSH6_4310,MSH6,121,120
82.19768861,-0.73244229,0.242463704,-3.081035387,0.002062821,0.014385623,121_vs_120,MSI2_28267,MSI2,121,120
98.41295991,-0.67643835,0.298187455,-2.344968119,0.019028707,0.079297328,121_vs_120,MTFR1_4345,MTFR1,121,120
59.04332917,0.622686202,0.332671361,1.866975405,0.061905023,0.191255259,121_vs_120,MTHFD2_4349,MTHFD2,121,120
